1.31389000000000000E+00	-2.03630000000000000E-01
1.31357115877944000E+00	-2.03123762384863000E-01
1.31261589343839000E+00	-2.01595688177038000E-01
1.31102797397274000E+00	-1.99029631650108000E-01
1.30881366717516000E+00	-1.95434170457223000E-01
1.30598171190297000E+00	-1.90860081481753000E-01
1.30254328458982000E+00	-1.85394027506432000E-01
1.29851195513745000E+00	-1.79125627926051000E-01
1.29390363336148000E+00	-1.72146183119273000E-01
1.28873650620261000E+00	-1.64569795451813000E-01
1.28303096595110000E+00	-1.56537477923565000E-01
1.27680952976771000E+00	-1.48166573066844000E-01
1.27009675081875000E+00	-1.39562484933459000E-01
1.26291912137595000E+00	-1.30827884709581000E-01
1.25530496826359000E+00	-1.22066258276056000E-01
1.24728434106541000E+00	-1.13371428552591000E-01
1.23888889353270000E+00	-1.04819767174598000E-01
1.23015175866135000E+00	-9.64753266913966000E-02
1.22110741793108000E+00	-8.84007407523857000E-02
1.21179156522279000E+00	-8.06515381961855000E-02
1.20224096595110000E+00	-7.32680129067200000E-02
1.19249331196809000E+00	-6.62792124193765000E-02
1.18258707281076000E+00	-5.97218012908828000E-02
1.17256134387932000E+00	-5.36256015927252000E-02
1.16245569214554000E+00	-4.80032889806089000E-02
1.15230999999999000E+00	-4.28512078865342000E-02
1.14216430785445000E+00	-3.81928151966273000E-02
1.13205865612067000E+00	-3.40366560853478000E-02
1.12203292718923000E+00	-3.03643730989286000E-02
1.11212668803190000E+00	-2.71679071114872000E-02
1.10237903404889000E+00	-2.44395510634670000E-02
1.09282843477720000E+00	-2.21623569718821000E-02
1.08351258206891000E+00	-2.03062255119996000E-02
1.07446824133864000E+00	-1.88499262946941000E-02
1.06573110646729000E+00	-1.77564977530858000E-02
1.05733565893458000E+00	-1.69765674923224000E-02
1.04931503173640000E+00	-1.64774782459972000E-02
1.04170087862404000E+00	-1.62035864339650000E-02
1.03452324918124000E+00	-1.60840844354103000E-02
1.02781047023228000E+00	-1.60597407897243000E-02
1.02158903404889000E+00	-1.60859108708303000E-02
1.01588349379738000E+00	-1.60845463284852000E-02
1.01071636663851000E+00	-1.60344358040287000E-02
1.00610804486254000E+00	-1.59284092916021000E-02
1.00207671541017000E+00	-1.57873226992975000E-02
9.98638288097029000E-01	-1.56899775838076000E-02
9.95806332824835000E-01	-1.56967555355105000E-02
9.93592026027258000E-01	-1.57921126925036000E-02
9.92004106561606000E-01	-1.61940927128545000E-02
9.91048841220559000E-01	-1.67275714328030000E-02
9.90477180700624000E-01	-1.76050000000000000E-02
9.91048841220559000E-01	-1.89005604620657000E-02
9.92004106561606000E-01	-2.03208838861730000E-02
9.93592026027258000E-01	-2.20894856778889000E-02
9.95806332824835000E-01	-2.38740050708134000E-02
9.98638288097029000E-01	-2.59407633258076000E-02
1.00207671541017000E+00	-2.82945333965454000E-02
1.00610804486254000E+00	-3.07692667952910000E-02
1.01071636663851000E+00	-3.33598576282034000E-02
1.01588349379738000E+00	-3.61126924911378000E-02
1.02158903404889000E+00	-3.89991276433315000E-02
1.02781047023228000E+00	-4.19935002336774000E-02
1.03452324918124000E+00	-4.50935696240586000E-02
1.04170087862404000E+00	-4.83046408255173000E-02
1.04931503173640000E+00	-5.16218324771933000E-02
1.05733565893458000E+00	-5.50443585684958000E-02
1.06573110646729000E+00	-5.85739230546280000E-02
1.07446824133864000E+00	-6.22163426008865000E-02
1.08351258206891000E+00	-6.59757473486071000E-02
1.09282843477720000E+00	-6.98578288670392000E-02
1.10237903404889000E+00	-7.38666565662079000E-02
1.11212668803190000E+00	-7.80059932572699000E-02
1.12203292718923000E+00	-8.22798248482052000E-02
1.13205865612067000E+00	-8.66917630609177000E-02
1.14216430785445000E+00	-9.12441528393509000E-02
1.15230999999999000E+00	-9.59365282449106000E-02
1.16245569214554000E+00	-1.00766719240182000E-01
1.17256134387932000E+00	-1.05730928353444000E-01
1.18258707281076000E+00	-1.10822753668956000E-01
1.19249331196809000E+00	-1.16031947005479000E-01
1.20224096595110000E+00	-1.21344274891464000E-01
1.21179156522279000E+00	-1.26744637214381000E-01
1.22110741793108000E+00	-1.32218557770670000E-01
1.23015175866135000E+00	-1.37746205038429000E-01
1.23888889353270000E+00	-1.43300156403086000E-01
1.24728434106541000E+00	-1.48847988953986000E-01
1.25530496826359000E+00	-1.54357842141048000E-01
1.26291912137595000E+00	-1.59795505165277000E-01
1.27009675081875000E+00	-1.65124788818455000E-01
1.27680952976771000E+00	-1.70307629620327000E-01
1.28303096595110000E+00	-1.75297855062869000E-01
1.28873650620261000E+00	-1.80041614750436000E-01
1.29390363336148000E+00	-1.84489827177306000E-01
1.29851195513745000E+00	-1.88611781143572000E-01
1.30254328458982000E+00	-1.92355468902474000E-01
1.30598171190297000E+00	-1.95626681220782000E-01
1.30881366717516000E+00	-1.98373838120525000E-01
1.31102797397274000E+00	-2.00636594594238000E-01
1.31261589343839000E+00	-2.02339669884920000E-01
1.31357115877944000E+00	-2.03321619366635000E-01
1.31389000000000000E+00	-2.03629999999999000E-01
